marital_status,application_mode,application_order,course,time,previous_qualification,nationality,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,output
single,,5,2,daytime,Secondary education,Portuguese,,11th Year of Schooling - Not Completed,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Armed Forces Professions,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout
single,,1,11,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Administrative staff,Administrative staff,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,5,5,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,0,0,1,0,19,0,10.8,1.4,1.74,Dropout
single,,2,15,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Administrative staff,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
married,,1,3,evening,Secondary education,Portuguese,Technical-professional course,,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,Graduate
married,,1,17,evening,Other - 11th year of schooling,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,,Installation and Machine Operators and Assembly Workers,,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
single,,4,11,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,3,10,daytime,Secondary education,,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,10,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,1,0,0,0,18,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,1,14,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,2,16,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,1,11,daytime,,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,21,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,6,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
