marital_status,application_mode,application_order,course,time,previous_qualification,nationality,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,output
single,2nd phase - general contingent,5,Animation and Multimedia Design,daytime,Secondary education,Portugal,,11th Year of Schooling - Not Completed,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Armed Forces Professions,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout
single,International student (bachelor),1,Tourism,daytime,Secondary education,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Administrative staff,Administrative staff,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,5,Communication Design,daytime,Secondary education,Portugal,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,0,0,1,0,19,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,2,Journalism and Communication,daytime,Secondary education,Portugal,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Administrative staff,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,Portugal,Technical-professional course,,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,1,Management (evening attendance),evening,Other - 11th year of schooling,Portugal,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,Portugal,,,Installation and Machine Operators and Assembly Workers,,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
single,3rd phase - general contingent,4,Tourism,daytime,Secondary education,Portugal,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,3,Social Service,daytime,Secondary education,Romania,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,1,0,0,0,18,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,Portugal,,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,Portugal,,,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,Portugal,,2nd cycle of the general high school course,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma holders,1,Tourism,daytime,,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,21,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,Portugal,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,Portugal,,2nd cycle of the general high school course,Armed Forces Professions,Administrative staff,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general contingent,1,Social Service,daytime,Secondary education,Portugal,,,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Unskilled Workers,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,Portugal,,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,Equinculture,daytime,Secondary education,Portugal,Higher Education - Degree,10th Year of Schooling,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,Portugal,,10th Year of Schooling,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary education,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Unskilled Workers,0,0,0,1,0,1,21,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent,4,Oral Hygiene,daytime,Secondary education,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,20,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,Portugal,,10th Year of Schooling,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary education,Portugal,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,Portugal,,10th Year of Schooling,Administrative staff,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
